building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
3栋,0.5元/平米/月,兴隆南里,3,劝业场,鞍山道小学,和平,1号线鞍山道站,, / 1978年建成,275户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045950249/,板楼,43387,9,无开发商,容积率/1.4  绿化率/20%
5栋,0.15元/平米/月,新河里,5,新兴街,,和平,3号线吴家窑站,, / 1989年建成,800户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047142171/,板楼,29393,8,无开发商,暂无容积率信息  暂无绿化率信息
15栋,0.5元/平米/月,重庆道,2,体育馆街,,和平,1号线小白楼站,, / 1990年建成,98户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047169731/,板楼,56489,9,无开发商,暂无容积率信息  暂无绿化率信息
2栋,0.5元/平米/月,景阳里,14,南营门街,和平区中心小学,和平,1号线鞍山道站,, / 1995年建成,488户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046437267/,板楼,40602,9,天津市和平区建设开发公司,容积率/1.95  绿化率/20%
2栋,0.5元/平米/月,福林里,10,体育馆街,岳阳道小学,和平,3号线西康路站,, / 1996年建成,528户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045875300/,板楼,37682,9,天津市和平区建设开发公司,容积率/1.58  绿化率/21.5%
5栋,1.2元/平米/月,长寿公寓,4,南市,万全小学/建物街小学,和平,1号线海光寺站,, / 1999年建成,740户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045864014/,板楼,31765,9,无开发商,容积率/1.5  绿化率/10%
6栋,0.5元/平米/月,同庆后,5,南市,万全小学,和平,2号线东南角站,, / 1999年建成,483户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046876432/,板楼,49432,17,无开发商,暂无容积率信息  暂无绿化率信息
5栋,0.65元/平米/月,天新里,18,南营门街,,和平,3号线西康路站,, / 1985年建成,699户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045946080/,板楼,31727,9,天津市和平区建设开发公司,容积率/2.16  绿化率/10%
13栋,0.5元/平米/月,树德楼,5,南营门街,,和平,1号线鞍山道站,, / 1988年建成,780户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045944161/,板楼,34957,9,无开发商,容积率/2.12  绿化率/10%
4栋,0.15元/平米/月,光华巷,6,劝业场,和平区中心小学,和平,1号线营口道站,, / 1990年建成,503户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045876364/,板楼,42956,17,无开发商,容积率/1.5  绿化率/10%
13栋,0.5元/平米/月,河北路,12,劝业场,耀华小学/二十中附小,和平,1号线营口道站,, / 1993年建成,671户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045900693/,板楼,37174,9,无开发商,容积率/1.5  绿化率/10%
11栋,3.8元/平米/月,朗文名邸,19,新兴街,昆明路小学,和平,3号线吴家窑站,, / 2011年建成,3656户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046634734/,板楼,49369,18,无开发商,容积率/1.5  绿化率/10%
