building	shop	prper	names	rents	locs2	schools	shopadd	locs1	lines	sales	years	houses	comper	url	build	prices	counts	devloper	types	discribe
2栋	交东小区店	暂无信息	北京河北饭店	0	安定门		东城区交道口大街8号楼1层3号	东城	2号线安定门站	0	塔楼?未知年	167户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041857905/	塔楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
45栋	丁丁虚拟5店	暂无信息	寿比胡同	3	地安门	黑芝麻胡同小学	无	东城	2号线安定门站	0	未知类型?未知年	180户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027379088/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
4栋	安定门地铁店	暂无信息	花园前巷	0	安定门	分司厅小学	东城安外西河沿14号楼一层底商（七色光摄影内西侧房屋一间）	东城	2号线安定门站	0	平房?未知年	14户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027375505/	平房	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
2栋	东直门北小街店	暂无信息	聚才大厦	0	东直门		东直门北小街22号1层底商	东城	5号线北新桥站	0	未知类型?未知年	91户	暂无信息	http://bj.lianjia.com/xiaoqu/1111047329981/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
3栋	景山小学店	暂无信息	育树头条	0	东直门	东直门中学小学部	东城东直门内小街12号楼底商	东城	2号线雍和宫站	0	未知类型?未知年	12户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027382050/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
9栋	安定门地铁店	暂无信息	后肖家胡同	0	安定门	方家胡同小学	东城安外西河沿14号楼一层底商（七色光摄影内西侧房屋一间）	东城	2号线安定门站	0	平房?1980年	33户	无物业管理服务	http://bj.lianjia.com/xiaoqu/1111027375379/	平房	暂无均价	0	北京市东城区房屋建设开发公司		暂无容积率信息??暂无绿化率信息
1栋	朝阳门店	暂无信息	东方豪庭公寓	0	东单		"朝阳区门内南小街20号楼首层20,21"	东城	1号线东单站	0	板楼?未知年	75户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027376832/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
4栋	府学小学店	暂无信息	前永康一巷	0	东直门	东直门中学小学部	东城区交道口东大街4号楼一层4-12	东城	5号线北新桥站	0	未知类型?未知年	16户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027378962/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
2栋	景山小学店	暂无信息	炮局四条	0	东直门	东直门中学小学部	东城东直门内小街12号楼底商	东城	2号线雍和宫站	0	未知类型?未知年	8户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027378738/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
3栋	万达租赁店.A店	暂无信息	智德前巷	1	东单	灯市口小学	无	东城	1号线天安门东站	0	板楼?未知年	8户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041090876/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	小街桥店	暂无信息	航天物资大厦	0	和平里		东城区和平里东街15号	东城	2号线雍和宫站	0	板楼?未知年	40户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027375326/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
2栋	交东小区店	暂无信息	寿比胡同甲6号院	0	地安门		东城区交道口大街8号楼1层3号	东城	6号线南锣鼓巷站	0	板楼?1983年	108户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041406820/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
2栋	丁丁虚拟5店	暂无信息	东不压桥胡同	0	地安门	黑芝麻胡同小学	无	东城	8号线什刹海站	0	未知类型?未知年	3户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041091397/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	和平新城新店	暂无信息	龙绍衡大厦	0	和平里		东城区民旺园30号楼配商一层4A地下一层8A	东城	5号线和平里北街站	0	塔楼?未知年	227户	暂无信息	http://bj.lianjia.com/xiaoqu/1111043157690/	塔楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	丁丁虚拟5店	暂无信息	南锣鼓巷80号院	0	地安门	黑芝麻胡同小学	无	东城	6号线南锣鼓巷站	0	未知类型?2002年	1户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027378545/	未知类型	暂无均价	0	暂无信息		容积率/1??暂无绿化率信息
20栋	丁丁虚拟5店	暂无信息	雨儿胡同	0	地安门	黑芝麻胡同小学	无	东城	6号线南锣鼓巷站	0	未知类型?未知年	77户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027381604/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
51栋	交东小区店	暂无信息	细管胡同	1	交道口	府学胡同小学	东城区交道口大街8号楼1层3号	东城	5号线北新桥站	0	未知类型?未知年	210户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027380753/	未知类型	暂无均价	0	暂无信息		容积率/2.5??绿化率/25%
33栋	交道口东大街店	暂无信息	白米仓胡同	0	交道口	府学胡同小学	东城区交道口东大街4号楼	东城	5号线北新桥站	0	平房?未知年	133户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027376025/	平房	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	新中西街店	暂无信息	工人体育馆	0	工体		东城区东营房八条	东城	2号线东四十条站	0	未知类型?未知年	7户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027374698/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	暂无门店信息	暂无信息	北京崇建工程有限公司	0	左安门			东城		0	未知类型?未知年	6户	暂无信息	http://bj.lianjia.com/xiaoqu/1111047787214/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
4栋	天桥北里店	暂无信息	山涧口二巷	0	天坛	精忠街小学	西城福长街15号	东城	7号线珠市口站	0	未知类型?未知年	10户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041178584/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	文汇中学店	暂无信息	光华中心写字楼	0	广渠门		忠实里西区7号楼	东城	7号线广渠门外站	0	未知类型?未知年	3户	暂无信息	http://bj.lianjia.com/xiaoqu/1111046536169/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
9栋	暂无门店信息	暂无信息	天坛南里东区	0	天坛	天坛东里小学		东城	14号线(东段)景泰站	0	板楼?1970年	534户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027380029/	板楼	暂无均价	0	暂无信息		容积率/0.89??绿化率/35%
