building,shop,prper,names,rents,locs2,schools,shopadd,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,types,discribe
3栋,中信城店,暂无信息,果子巷平房,0,陶然亭,八中附小,西城区菜市口大街6号院6号楼102底商,西城,4号线菜市口站,0,未知类型 未知年,12户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027374858/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,陶然亭小学店,暂无信息,仁民路14号,0,陶然亭,香厂路小学,西城区南横东街3-2陶然北岸底商,西城,7号线虎坊桥站,0,板楼 1999年,30户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027374926/,板楼,暂无均价,0,暂无信息,,容积率/2  绿化率/10%
5栋,天桥北里店,暂无信息,留学路平房,0,陶然亭,香厂路小学,西城福长街15号,西城,7号线珠市口站,0,板楼平房 1980年,69户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027378145/,板楼/平房,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,陶然亭小学店,暂无信息,北纬路8号,0,陶然亭,,西城区南横东街3-2陶然北岸底商,西城,7号线虎坊桥站,0,板楼 1985年,54户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027376151/,板楼,暂无均价,0,暂无信息,,容积率/1.5  绿化率/23%
6栋,天桥北里店,暂无信息,福长街平房,0,陶然亭,新世纪实验小学,西城福长街15号,西城,7号线珠市口站,0,平房 未知年,50户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027374148/,平房,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,顺城街小学店,暂无信息,宣武门SOGO北办公楼,0,宣武门,,西城区前门西大街135号8001室,西城,,0,未知类型 未知年,13户,暂无信息,http://bj.lianjia.com/xiaoqu/1111047732674/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,宣武门店,暂无信息,梁家园北胡同,0,宣武门,实验一小/实验一小广外分校,西城区永光东街9号院1-4富卓花园1号楼底商19D,西城,7号线虎坊桥站,0,未知类型 未知年,1户,暂无信息,http://bj.lianjia.com/xiaoqu/1111045952820/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
7栋,中信城店,暂无信息,保安寺街,0,陶然亭,八中附小,西城区菜市口大街6号院6号楼102底商,西城,4号线菜市口站,0,未知类型 未知年,28户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027375698/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
4栋,天桥北里店,暂无信息,福长街五条18号院,0,陶然亭,新世纪实验小学,西城福长街15号,西城,,0,未知类型 1970年,16户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027374149/,未知类型,暂无均价,0,暂无信息,,容积率/0.8  绿化率/25%
1栋,庄胜社区店,暂无信息,前门西河沿57号院,0,宣武门,,西城区香炉营东巷2号院3号楼1层1单元103,西城,2号线和平门站,0,板楼 未知年,18户,暂无信息,http://bj.lianjia.com/xiaoqu/1111043240984/,板楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
4栋,长椿街店,暂无信息,校场口小九条,0,宣武门,康小,西城区长春街8号楼6-1-62,西城,4号线菜市口站,0,未知类型 未知年,9户,暂无信息,http://bj.lianjia.com/xiaoqu/1111047323487/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
2栋,庄胜社区店,暂无信息,延受胡同,0,宣武门,,西城区香炉营东巷2号院3号楼1层1单元103,西城,2号线和平门站,0,未知类型 未知年,8户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027382019/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
9栋,陶然亭小学店,暂无信息,培英胡同,0,宣武门,,西城区南横东街3-2陶然北岸底商,西城,7号线虎坊桥站,0,平房 1950年,24户,街道办事处（委员会）代管物业,http://bj.lianjia.com/xiaoqu/1111027378769/,平房,暂无均价,0,无开发商,,暂无容积率信息  暂无绿化率信息
9栋,宣武门店,暂无信息,铁鸟胡同,0,宣武门,实验一小/实验一小广外分校,西城区永光东街9号院1-4富卓花园1号楼底商19D,西城,2号线和平门站,0,未知类型 未知年,36户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027379922/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,长椿街店,暂无信息,校场小八条,0,宣武门,康小,西城区长春街8号楼6-1-62,西城,2号线宣武门站,0,未知类型 未知年,1户,暂无信息,http://bj.lianjia.com/xiaoqu/1111046950097/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,宣武门店,暂无信息,棉花下二条,0,宣武门,实验一小,西城区永光东街9号院1-4富卓花园1号楼底商19D,西城,,0,未知类型 未知年,1户,暂无信息,http://bj.lianjia.com/xiaoqu/1111047762569/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
