building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
28栋,暂无信息,泽水园,1,葛沽镇,,津南,,0,未知年,1212户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811054285807/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
15栋,2.8元/平米/月,南园,0,八里台,,津南,,0,2017年,186户,天津隆创物业管理有限公司,http://tj.lianjia.com/xiaoqu/126876315266082/,板楼,暂无均价,0,天津滨沣置业有限公司,容积率/1.2  绿化率/40%
19栋,2.4至2.82元/平米/月,华远波士顿,8,辛庄,,津南,,0,2015年,1229户,暂无信息,http://tj.lianjia.com/xiaoqu/1211063492427/,塔楼/板楼,12778,6,菱华阳光(天津)房地产开发有限公司,容积率/2  绿化率/40%
5栋,暂无信息,文苑公寓,1,咸水沽,,津南,,0,未知年,204户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811055488336/,未知类型,6068,0,天津建委,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,仁恒北岸中心,0,咸阳北路,,红桥,1号线本溪路站,0,2020年,0户,暂无信息,http://tj.lianjia.com/xiaoqu/1210635749108960/,板楼,暂无均价,0,天津联津房地产开发有限公司,容积率/2.4  绿化率/35%
20栋,3.63元/平米/月,合景御华园,0,双港,,津南,,0,2016年,496户,宁骏物业管理有限公司天津分公司,http://tj.lianjia.com/xiaoqu/1211063171625/,板楼,11938,0,天津合景泓峰房地产开发有限公司,容积率/1.03  绿化率/45%
1栋,暂无信息,松江置地广场,0,学府街,,南开,,0,未知年,308户,深圳市花样年国际物业服务有限公司天津分公司,http://tj.lianjia.com/xiaoqu/1212811696616282/,塔楼,暂无均价,0,天津松江置地有限公司,容积率/11.5  绿化率/15%
10栋,暂无信息,宜景园,0,宜兴埠,,北辰,3号线张兴庄站,0,1995年,736户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/129054099877995/,板楼,暂无均价,0,天津建委,容积率/1.5  绿化率/10%
3栋,暂无信息,迎水道5号,1,水上公园街,,南开,3号线红旗南路站,0,未知年,77户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811052255102/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
6栋,3.9至4元/平米/月,天房崇德园,0,水上公园街,,南开,3号线红旗南路站,0,2017年,436户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211100049229/,板楼,暂无均价,0,天津天房卓汇置业有限公司,容积率/2.32  绿化率/40%
1栋,暂无信息,鑫茂华创大厦,0,嘉陵道街,,南开,,0,未知年,24户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046170815/,未知类型,暂无均价,0,天津建委,容积率/1.6  绿化率/10%
23栋,暂无信息,瑞贤里,1,瑞景居住区,,北辰,1号线西横堤站,0,未知年,1484户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051950387/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,金悦花园,0,宜兴埠,,北辰,,0,未知年,125户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1210435029118606/,塔楼,暂无均价,0,天津建委,容积率/1.6  绿化率/10%
1栋,暂无信息,杰座商务中心,0,空港经济区,,东丽,,0,未知年,1户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211288925712220/,未知类型,暂无均价,1,暂无信息,暂无容积率信息  暂无绿化率信息
19栋,暂无信息,通园,1,华明镇,,东丽,,0,未知年,738户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811054316139/,未知类型,暂无均价,1,天津建委,暂无容积率信息  暂无绿化率信息
17栋,0.6元/平米/月,德园,3,华明镇,,东丽,,0,2007年,688户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811055523963/,板楼,暂无均价,1,无开发商,暂无容积率信息  暂无绿化率信息
4栋,暂无信息,东新家园,1,新立街,,东丽,津滨9号线新立站,0,未知年,180户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811055526817/,未知类型,暂无均价,1,天津建委,暂无容积率信息  暂无绿化率信息
14栋,暂无信息,敬园,0,华明镇,,东丽,,0,未知年,627户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811055555349/,未知类型,暂无均价,1,天津建委,暂无容积率信息  暂无绿化率信息
39栋,暂无信息,碧湖苑,0,东丽湖,,东丽,,0,未知年,153户,暂无信息,http://tj.lianjia.com/xiaoqu/1211100530067/,未知类型,暂无均价,2,天津建委,容积率/1.5  绿化率/35%
14栋,2.8至3元/平米/月,天津华侨城桥湾,0,东丽湖,,东丽,,0,2014年,924户,深圳市华侨城物业服务有限公司天津分公司,http://tj.lianjia.com/xiaoqu/126877149146488/,塔楼/板楼,暂无均价,1,天津华侨城实业有限公司,容积率/1.29  绿化率/43%
12栋,0.6元/平米/月,芳园,0,华明镇,,东丽,,0,2007年,649户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811055528096/,板楼,暂无均价,2,天津建委,容积率/1.6  绿化率/10%
23栋,3.61元/平米/月,香缇花园白金汉宫,0,华明镇,,东丽,,0,2015年,2484户,天津市普惠物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211100164078/,未知类型,21473,0,天津市川正房地产开发有限公司,容积率/0.7  绿化率/50%
3栋,暂无信息,汇津广场,19,空港经济区,,东丽,,0,未知年,81户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1210768902008467/,板楼,19602,0,暂无信息,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,万科新里程,0,空港经济区,,东丽,,0,未知年,9户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211099652920/,未知类型,17837,0,无开发商,暂无容积率信息  暂无绿化率信息
2栋,暂无信息,紫园,0,华明镇,,东丽,,0,未知年,15户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1212330575605686/,板楼,暂无均价,1,暂无信息,暂无容积率信息  暂无绿化率信息
2栋,2.8元/平米/月,红杉树,0,华明镇,,东丽,,0,2013年,6户,北京城建物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211100160326/,未知类型,13225,0,天津市东丽软件园建设开发有限公司,容积率/0.82  绿化率/40%
6栋,暂无信息,跃进南里,2,张贵庄,,东丽,,0,未知年,270户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811054450424/,未知类型,12304,0,天津建委,暂无容积率信息  暂无绿化率信息
41栋,1.65元/平米/月,虹湾苑,0,东丽湖,,东丽,,0,2005年,41户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211100907226/,板楼,暂无均价,2,无开发商,容积率/1.5  绿化率/10%
2栋,0.5元/平米/月,万科新城柳杉苑,0,宜兴埠,,北辰,3号线天士力站,0,1990年,2户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/129912073335598/,未知类型,暂无均价,0,无开发商,容积率/1.5  绿化率/10%
12栋,2.8元/平米/月,万科金色雅筑,2,万新街,,东丽,,0,2013年,968户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046404256/,板楼,17107,0,天津建委,容积率/1.6  绿化率/10%
21栋,2.5元/平米/月,天房郦堂,2,万新街,,东丽,,0,2015年,595户,天津市天房物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211063976496/,板楼,12074,0,天津市天房信诚房地产开发有限公司,容积率/1.7  绿化率/40%
16栋,3元/平米/月,东丽湖万科城别墅,0,东丽湖,,东丽,,0,2016年,112户,暂无信息,http://tj.lianjia.com/xiaoqu/1211100162300/,未知类型,12080,0,天津万科房地产有限公司,容积率/0.49  绿化率/40%
1栋,暂无信息,临汾路,0,长虹街,,南开,2号线长虹公园站,0,未知年,3户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1210316465582545/,板楼,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,二纬路,0,兴南街,,南开,1号线小白楼站,0,未知年,3户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211048964467/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
2栋,暂无信息,百合春天,0,万新街,,东丽,,0,未知年,28户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211100118113/,板楼,13680,0,天津建委,暂无容积率信息  暂无绿化率信息
1栋,1元/平米/月,博泰大厦,0,兴南街,,南开,1号线海光寺站,0,2000年,160户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046452394/,塔楼,暂无均价,0,无开发商,容积率/1.5  绿化率/10%
1栋,0.5元/平米/月,怀安环路,0,万兴街,,南开,,0,1990年,8户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046593416/,塔楼,暂无均价,0,无开发商,容积率/1.5  绿化率/10%
1栋,暂无信息,金融街中心,0,万兴街,,南开,1号线海光寺站,0,未知年,15户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211612609851059/,塔楼,暂无均价,0,暂无信息,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,孤山路,0,万兴街,,南开,2号线广开四马路站,0,未知年,1户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046646006/,未知类型,暂无均价,0,天津建委,容积率/1.6  绿化率/10%
2栋,暂无信息,凌奥幸福时光,5,体育中心街,,南开,2号线鼓楼站,0,未知年,578户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046501697/,未知类型,暂无均价,0,天津建委,容积率/1.6  绿化率/10%
1栋,暂无信息,服装街,0,兴南街,,南开,1号线西南角站,0,未知年,1户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211295212187975/,板楼,暂无均价,0,暂无信息,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,艳阳路,0,王顶堤,,南开,3号线王顶堤站,0,未知年,1户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211403017072603/,板楼,暂无均价,0,暂无信息,容积率/2.76  绿化率/40%
5栋,暂无信息,长江道82号院,2,万兴街,西营门外小学,南开,1号线海光寺站,0,未知年,300户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046579248/,未知类型,暂无均价,0,天津建委,容积率/1.4  绿化率/15%
8栋,暂无信息,幸福居,0,第三大街,,开发区,,0,未知年,1382户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211063172938/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,欣苑路25号,1,水上公园街,,南开,,0,未知年,1户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/128757576216775/,板楼,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
8栋,16.6元/平米/月,金融街西区,0,第三大街,,开发区,,0,2008年,3960户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211062827292/,塔板结合,暂无均价,0,无开发商,容积率/1.5  绿化率/10%
3栋,暂无信息,天成一品,0,第二大街,,开发区,,0,2016年,308户,天津嘉创物业服务有限公司,http://tj.lianjia.com/xiaoqu/127034597815201/,板楼,暂无均价,0,天保基建,容积率/2.18  绿化率/40%
20栋,0.75元/平米/月,翠享村,0,第三大街,,开发区,,0,2009年,2405户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811053531978/,板楼,暂无均价,0,天津建委,容积率/1.6  绿化率/10%
8栋,16.6元/平米/月,金融街东区,0,第三大街,,开发区,,0,2008年,3960户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211062826818/,塔板结合,暂无均价,0,无开发商,容积率/1.5  绿化率/10%
2栋,暂无信息,第三大道8号,0,第三大街,,开发区,,0,未知年,36户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811052374649/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
1栋,1.8元/平米/月,白云小区,0,第三大街,,开发区,,2,2003年,72户,暂无信息,http://tj.lianjia.com/xiaoqu/1211062791881/,板楼,暂无均价,0,天津市云鼎置业发展有限公司,容积率/1.2  绿化率/30%
18栋,暂无信息,贻成园东区,1,第三大街,,开发区,,0,未知年,297户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211063956665/,未知类型,暂无均价,1,无开发商,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,航海公寓,0,学府街,,南开,,0,未知年,12户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046456277/,未知类型,暂无均价,0,天津建委,容积率/1.6  绿化率/10%
10栋,1.8元/平米/月,贻成园西区,1,第三大街,,开发区,,0,2004年,59户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211063955007/,板楼,暂无均价,1,天津贻成房地产有限公司,容积率/1.9  绿化率/15%
