building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
6栋,2元/平米/月,华城领秀怡和家园,1,铃铛阁,红桥中心小学,红桥,号线长虹公园站,,2009年,490户,暂无信息,http://tj.lianjia.com/xiaoqu/1211046153997/,板楼,25579,11,天津住宅建设发展集团有限公司,容积率/2.4  绿化率/47%
26栋,1.2元/平米/月,紫芥园,4,芥园道,,红桥,号线天津西站站,,2001年,917户,暂无信息,http://tj.lianjia.com/xiaoqu/1211045368405/,板楼,30643,8,天津市津东房地产开发集团有限公司,容积率/1.7  绿化率/35%
48栋,0.5至0.8元/平米/月,千禧园,27,邵公庄,,红桥,,,2001年,4780户,天津市万隆物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045371018/,板楼,17915,60,天津万隆置业发展有限公司,容积率/1.5  绿化率/10%
47栋,1.8至2元/平米/月,华城领秀,1,铃铛阁,,红桥,号线广开四马路站,,2012年,3220户,天津华夏物业管理发展有限公司,http://tj.lianjia.com/xiaoqu/1211099967773/,塔板结合,28043,2,天津住宅建设发展集团有限公司,容积率/1.61  绿化率/38.4%
20栋,0.5元/平米/月,水竹花园,6,西沽街,,红桥,号线天津西站站,,2003年,1269户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045376159/,板楼,17652,16,无开发商,容积率/1.5  绿化率/10%
4栋,0.5元/平米/月,广州道63,0,杭州道,,塘沽,,,1993年,145户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811052271585/,板楼,9678,0,无开发商,容积率/1.8  绿化率/26%
9栋,暂无信息,发电楼,7,果园新村,,北辰,,,未知年,500户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811052531555/,未知类型,12906,0,天津建委,暂无容积率信息  暂无绿化率信息
9栋,0.75元/平米/月,金门里,2,天穆镇,,北辰,,,2001年,324户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811052345640/,板楼,13397,1,无开发商,容积率/1.5  绿化率/10%
3栋,暂无信息,翠涛东里,2,宜兴埠,,北辰,号线宜兴埠站,,未知年,282户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811052521727/,未知类型,9762,2,天津建委,容积率/1.5  绿化率/15%
7栋,0.5元/平米/月,先锋里,8,张贵庄,,东丽,,,1989年,539户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045739081/,板楼,12549,7,无开发商,容积率/1.5  绿化率/10%
20栋,2.2元/平米/月,奥林匹克花园枫叶苑,1,瑞景居住区,,北辰,号线西横堤站,,2004年,458户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045379874/,板楼,18164,10,无开发商,容积率/1.5  绿化率/10%
5栋,0.5元/平米/月,萍乡楼,2,西于庄,,红桥,号线勤俭道站,,1985年,567户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045453080/,板楼,15749,5,天津市红桥区建设开发总公司,容积率/2.24  绿化率/10%
1栋,暂无信息,友爱里,1,体育馆街,,和平,,,未知年,2户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/129703816703296/,板楼,37705,0,天津建委,暂无容积率信息  暂无绿化率信息
1栋,暂无信息,新华路广财巷,0,劝业场,,和平,,,未知年,6户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1210050071703641/,板楼,30175,0,天津建委,暂无容积率信息  暂无绿化率信息
29栋,1.2元/平米/月,城际美景家园,20,双街,,北辰,,,2008年,2392户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045485996/,板楼,8857,69,无开发商,容积率/1.6  绿化率/10%
5栋,0.5元/平米/月,正东公寓,4,丁字沽街,红桥实验,红桥,号线勤俭道站,,1999年,438户,天津市丰达物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045441562/,板楼,16930,3,天津方正投资发展有限公司,容积率/1.45  绿化率/18%
31栋,0.5元/平米/月,宜鹏园,0,宜兴埠,,北辰,号线宜兴埠站,,2005年,1766户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811053174152/,板楼,10292,6,无开发商,容积率/1.5  绿化率/10%
1栋,暂无信息,滨府里,3,劝业场,哈密道小学,和平,号线鞍山道站,,1990年,134户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045860535/,板楼,24743,0,无开发商,容积率/1.5  绿化率/10%
1栋,0.7元/平米/月,云峰里,4,体育馆街,岳阳道小学,和平,号线营口道站,,1995年,68户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045956844/,板楼,47319,2,天津市和平区建设开发公司,容积率/1.64  绿化率/20%
2栋,0.5元/平米/月,四平西道,1,南营门街,,和平,号线西康路站,,未知年,85户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811053090299/,板楼,29043,1,天津建委,容积率/1.6  绿化率/10%
3栋,暂无信息,更生里,1,体育馆街,,和平,,,未知年,40户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1210098120864302/,板楼,39036,3,天津建委,暂无容积率信息  暂无绿化率信息
1栋,1.5元/平米/月,云峰楼,1,体育馆街,二十中附小,和平,号线小白楼站,,1985年,104户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045956886/,板楼,37094,5,天津建委,容积率/1.75  绿化率/30%
2栋,0.5元/平米/月,安庆里,6,体育馆街,岳阳道小学,和平,号线西康路站,,1996年,165户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046801469/,板楼,42555,4,天津市和平区建设开发公司,容积率/1.6  绿化率/23%
13栋,0.5元/平米/月,同安新里,9,新兴街,,和平,号线西康路站,,1995年,970户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045966482/,板楼,29334,6,无开发商,容积率/1.5  绿化率/10%
5栋,0.5元/平米/月,泰来南里,4,果园新村,,北辰,,,1992年,231户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811053163883/,板楼,10233,4,天津建委,容积率/1.1  绿化率/25%
5栋,0.65元/平米/月,天新里,18,南营门街,,和平,号线西康路站,,1985年,699户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045946080/,板楼,31727,9,天津市和平区建设开发公司,容积率/2.16  绿化率/10%
4栋,2元/平米/月,诚基经贸中心,266,体育馆街,耀华小学,和平,号线营口道站,4,2008年,7064户,暂无信息,http://tj.lianjia.com/xiaoqu/1211046425881/,塔楼,24960,316,天津泰瑞房地产开发有限公司,容积率/1.52  绿化率/30%
1栋,暂无信息,林西路,0,劝业场,,和平,,,未知年,2户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1210155980238553/,板楼,41218,1,天津建委,暂无容积率信息  暂无绿化率信息
2栋,5.8元/平米/月,湯臣津湾一品,28,小白楼,四平东道小学,和平,号线津湾广场站,,2015年,1318户,北京戴德梁行物业管理有限公司天津分公司,http://tj.lianjia.com/xiaoqu/1211063539846/,板楼,39546,15,天津津湾房产建设有限公司,容积率/1  绿化率/48%
